Tên SP,Nhà sản xuất,Model,Kết nối,Kích thước,Loại switch,Giá(đ)
Bàn Phím Cơ Gaming không dây Asus ROG Strix Scope II 96 Wireless NXSW,Asus,GM328,vừa có dây vừa không dây,0.7212003987089425,blue,3899000
Bàn phím Gaming ASUS ROG STRIX SCOPE II NX USB,Asus,CD87HR,không dây,0.7212003987089425,pink,2699000
Bàn phím Gaming ASUS ROG AZOTH,Asus,CD87HR,có dây,0.6528384279475983,white,6099000
Bàn phím Gaming Asus ROG Azoth NX SM Black ,Asus,KB1,có dây,0.6528384279475983,cherry,5999000
Bàn phím Gaming ASUS ROG AZOTH NX RED,Asus,H75S Panda 3 Mode Wireless,có dây,0.6528384279475983,green,5999000
Bàn phím cơ Asus ROG Falchion Blue switch 90MP01Y2-BKUA00,Asus,ROG Falchion,không dây,0.6069868995633187,blue,1599000
Bàn phím Gaming Asus ROG Strix Scope II NX SM ,Asus,EK387L White,có dây,0.8930131004366813,yellow,3199000
Bàn phím game Asus TUF K1 ,Asus,KB1,vừa có dây vừa không dây,0.7212003987089425,blue,849000
Kit bàn phím cơ FLEsport Q75 Crystal Grey ,Darmoshark,ROG Falchion,vừa có dây vừa không dây,0.7212003987089425,red,1249000
Bàn phím Lecoo KB101 đen ,LECOO,KB1,không dây,0.7212003987089425,black,129000
"Bàn phím cơ gaming có dây Newmen GM328, Purple-White, Blue Switch",Newmen,GM328,vừa có dây vừa không dây,0.7212003987089425,black,529000
Bàn phím gaming có dây Razer Ornata V3 Tenkeyless Led RGB RZ03-04880100-R3M1,Razer,CD87HR,không dây,0.7212003987089425,green,1299000
Bàn phím cơ gaming có dây Rapoo V500 Pro Black ,Rapoo,EK375,có dây,0.888646288209607,blue,629000
Bàn phím AKKO 3108s RGB pro - Pink ,Akko,Razer DeathStalker V2,không dây,0.9061135371179039,cherry,1429000
Bàn phím AKKO 3108s RGB pro - Pink ,Akko,Newmen GM326,không dây,0.9061135371179039,cherry,1429000
Bàn phím AKKO 3098 DS Matcha Red Bean ,Akko,3084,có dây,0.7751091703056768,brown,1399000
Bàn phím AKKO 3098 DS Matcha Red Bean ,Akko,ROG Falchion,có dây,0.7751091703056768,black,1399000
Bàn phím cơ Logitech G512 Lightsync RGB Linear ,Logitech,EK387L White,không dây,0.2292576419213974,brown,1949000
Bàn phím AKKO 3087 DS Midnight ,Akko,Razer DeathStalker V2,không dây,0.7270742358078602,brown,1299000
Bàn phím AKKO 3096 DS Midnight ,Akko,EK387L White,vừa có dây vừa không dây,0.7707423580786026,blue,1299000
Bàn phím Corsair K100 RGB Speed switch ,Corsair,K10,không dây,0.7212003987089425,cherry,4999000
Bàn phím Corsair K100 RGB Optical switch ,Corsair,K10,không dây,0.7212003987089425,pink,4999000
Bàn Phím Cơ Machenike K500-B61 Wireless White Grey Red Switch Led RGB ,AULA,EK398,có dây,0.7212003987089425,green,1099000
Bàn phím cơ AULA F99 Đen trắng hồng ,AULA,GM328,không dây,0.7212003987089425,blue,1689000
Bàn phím không dây Asus ROG Falchion NX Blue sw ,Asus,ROG Falchion,vừa có dây vừa không dây,0.6069868995633187,silver,3499000
Bàn phím cơ AKKO 3087 RF Dragon Ball Z - Goku ,Akko,K10,không dây,0.7270742358078602,red,1599000
Bàn phím cơ AKKO 3108 RF One Piece - Luffy ,Akko,EK387L RGB,không dây,0.9017467248908297,pink,1699000
